code,name,industry,listing_date,continuous_div_years,market_cap,float_cap,dividend_yield,cagr_5y_non_drip,cagr_5y_drip,is_less_than_5y,actual_years_calculated,business_scope,overseas_rev_pct,domestic_rev_pct,geography_detail,business_model_moat,div_policy
300750.SZ,宁德时代,电力设备-动力与储能电池,2018-06-11,7,9400.0,7500.0,3.84,6.8,8.1,False,5.0,全球生意,34.5,65.5,全球市占率超37%连续多年世界第一，德国图林根、匈牙利德布勒森超级工厂投产，供货全球主流车企。,极限制造良率、万项专利护城河及神行/麒麟超充电池引领全球锂电技术规范，ROE超25%。,自创业板上市以来年年分红，2024-2025年派现超360亿元，特别分红大手笔回馈股东。
601318.SH,中国平安,非银金融-综合保险与金融,2007-03-01,18,8450.0,5200.0,5.25,-0.8,4.5,False,5.0,全国大部分在中国,1.9,98.1,深耕中国大陆寿险、产险、银行、信托与医疗养老生态圈，个人客户数超2.3亿，海外占比微小。,综合金融全牌照+医疗养老协同生态，代理人渠道改革见效，营运利润韧性强，每股股息连续十余年逆势提升。,上市18年全勤分红，即使在周期承压时也保持每股派息平稳上调，年年坚持中期与末期双重分红。
600028.SH,中国石化,石油石化-炼油与销售,2001-08-08,24,7500.0,5800.0,6.2,6.5,12.9,False,5.0,全国大部分在中国,14.2,85.8,国内拥有超3万座加油站形成的全国零售网络与密集炼化基地，海外主要是原油采购贸易与少量境外工程。,中国最大成品油与石化产品供应商，加油站黄金地理位置网点具有极强区位排他性，现金流丰沛。,24年分红从未间断，分红频次达40次以上（年年稳定中期+末期分红），承诺分红率不低于65%。
600900.SH,长江电力,公用事业-水力发电,2003-11-18,22,7100.0,7100.0,3.78,13.8,17.6,False,5.0,全国大部分在中国,0.5,99.5,长江干流三峡、葛洲坝、溪洛渡、向家坝、乌东德、白鹤滩六座梯级水电站全部位于中国长江流域，西电东送。,不可复制的自然地理垄断，零燃料成本，六库联调平滑丰枯水期波动，折旧逐步到期后现金流极其澎湃，永续印钞机。,22年分红全勤，白纸黑字章程承诺2021-2025、2026-2030两个五年期现金分红率均不低于70%。
601728.SH,中国电信,通信-电信运营与天翼云,2021-08-20,5,6050.0,980.0,4.65,11.2,15.8,False,5.0,全国大部分在中国,2.5,97.5,国内深耕宽带基础网络、天翼云国资云与政企算网，海外以国际漫游与跨境海缆通信为主。,国内云网融合第一梯队，天翼云政务公有云市占率第一，通信服务刚性永续，ROE稳定提升。,回归A股5年来年年高比例现金分红，承诺分红率达到70%以上，实施中期与末期双重分红。
601328.SH,交通银行,银行业-国有大型银行,2007-05-15,18,5700.0,2900.0,5.65,7.5,13.5,False,5.0,全国大部分在中国,5.2,94.8,总部位于上海，业务深耕长三角及全国核心城市群，海外设有香港、纽约、伦敦等境外分支机构。,百年交行品牌，长三角区域一体化金融排头兵，财富管理与离岸金融特色鲜明，资产估值处于低位。,连续18年分红全勤，现金分红比例常年锁定在30%以上，年年向股东派发现金红包。
000858.SZ,五粮液,食品饮料-白酒,1998-04-27,26,5400.0,5400.0,3.95,-8.5,-5.1,False,5.0,全国大部分在中国,1.5,98.5,以四川宜宾明清古窖池为核心，产品销售覆盖全国各大省市千家万户，海外为少量高端品鉴与华人配售。,浓香型白酒超级霸主，万口老窖池稀缺微生物群落壁垒，千元价格带核心认知，现金流充裕。,上市26年未曾中断分红，近五年连续提高派息，承诺2024-2026年现金分红比例不低于70%。
000333.SZ,美的集团,家用电器-白色家电与暖通机器人,2013-09-18,12,5200.0,4800.0,4.75,-1.8,2.2,False,5.0,全球生意,41.5,58.5,海外营收占比超41%，业务覆盖200多个国家，拥有德国KUKA工业机器人、东芝家电、意大利Clivet暖通等海外子公司。,ToC家电与ToB工业技术双轮驱动，T+3数字化精益制造极限降本，全球多品牌矩阵，卓越的职业经理人制度。,整体上市12年年年高额分红，累计分红超1000亿元，现金分红率超60%，兼顾大手笔股票回购。
601658.SH,邮储银行,银行业-国有大型银行,2019-12-10,6,4900.0,3400.0,5.48,3.8,8.6,False,5.0,全国大部分在中国,0.2,99.8,依托中国邮政集团近4万个营业网点，深度扎根中国广大中西部县域和农村基层，几乎全部业务在境内。,全国个人客户超6.5亿，资产质量极为优良，不良贷款率在国有大行中最低，零售存款负债成本优势突出。,A股上市以来年年全勤现金分红，股利支付率稳健维持在30%水准。
601138.SH,工业富联,电子-AI算力服务器与网络通信,2018-06-08,7,4850.0,4850.0,2.85,18.5,22.1,False,5.0,全球生意,76.5,23.5,海外收入占比高达76.5%，制造基地遍布美国、墨西哥、越南、匈牙利及中国，为英伟达、苹果、微软等全球巨头核心ODM。,全球高端AI服务器（GB200/NVL72）制造与800G高速交换机无可替代的核心供应链龙头，精密制造壁垒极深。,上市7年每年现金分红全勤，近三年派现金额连续突破百亿元，2024年分红超115亿元。
601899.SH,紫金矿业,有色金属-铜金采选与冶炼,2008-04-25,18,4650.0,4650.0,3.42,24.5,28.6,False,5.0,全球生意,42.5,57.5,铜金矿山遍布塞尔维亚、刚果(金)、苏里南、哥伦比亚、巴新等海外多国，海外资产与利润贡献超四成。,全球顶尖矿业跨国巨头，自主地质勘查与低成本水冶采选世界领先，逆周期跨国并购壁垒极深。,上市18年年年分红从未间断，分红规模稳步跃升，近五年分红年均复合增速超40%，实施中期+年度分红。
300760.SZ,迈瑞医疗,医药生物-医疗器械平台,2018-10-16,7,3150.0,3150.0,3.25,-6.2,-3.8,False,5.0,全球生意,41.2,58.8,海外销售超40%，生命信息支持、体外诊断、医学影像全面进驻美欧前百大教学医院，在新兴市场保持高速渗透。,中国医疗器械一哥，三大产线高端平台化技术协同，高研发投入（营收10%），海外本地化营销与服务体系深厚。,上市7年累计分红达353亿元，为IPO募资净额的6倍，率先推出一年多次（年中+三季+年度）分红机制。
600276.SH,恒瑞医药,医药生物-创新药研发,2000-10-18,24,2980.0,2980.0,1.25,-3.2,-2.1,False,5.0,全国大部分在中国,14.8,85.2,核心业务深耕国内三甲医院抗肿瘤与麻醉用药；近年来通过重磅新药对外授权（License-out）快速做大海外收益。,中国创新药研发标杆，拥有十余款已上市1类创新药，自研管线储备丰厚，仿制药集采冲击完全见底。,自2000年上市起连续24年现金分红不间断，在保持巨额研发开支的同时坚持每年派发现金红利与转增股本。
002415.SZ,海康威视,电子-智能物联网与视频感知,2010-05-28,15,2750.0,2700.0,3.85,-8.9,-6.1,False,5.0,全球生意,35.8,64.2,业务覆盖全球150多个国家和地区，在境外设立数十家分支机构；虽然面临特定地缘制裁，但亚非拉中东拓展强劲。,安防视频感知与多维物联感知龙头，千行百业数字化赋能软硬件底座，萤石网络等创新业务矩阵成型。,上市15年年年全额分红，2024-2025年派现超百亿元，分红率保持在50%上下。
600809.SH,山西汾酒,食品饮料-清香型白酒,1994-01-06,30,2650.0,2650.0,2.85,5.2,7.4,False,5.0,全国大部分在中国,0.8,99.2,清香型白酒国酒鼻祖，国内以山西省为基地，“过长江”向长三角、珠三角及全国核心城市深度扩张。,清香型白酒独尊地位，青花汾酒与玻汾形成高低搭配的黄金产品矩阵，渠道周转与动销全国领跑。,上市30余年分红从未中断，分红融资比超50倍，盈利与分红同步保持高成长。
601225.SH,陕西煤业,采掘-动力煤开采,2014-01-28,11,2420.0,2420.0,7.15,18.2,25.6,False,5.0,全国大部分在中国,0.0,100.0,开采矿区全部位于陕西榆神、神府、黄陵等中国核心优质煤盆地，产品100%服务国内电力与工业需求。,资源赋存条件极其优越，低瓦斯高赋存赋能智能化全机械开采，吨煤开采成本极低，高净利率与高自由现金流。,上市11年年年大额分红，章程规划现金分红率不低于当年净利的60%，实际派息率多次超预期。
601668.SH,中国建筑,建筑装饰-房屋与基建建设,2009-07-29,16,2380.0,2380.0,4.95,4.5,9.2,False,5.0,全国大部分在中国,6.2,93.8,93.8%收入来自中国国内重点城市基建与公建；海外在一带一路沿线国家承揽重点地标工程与交通网络。,全球最大工程承包商，《财富》世界500强前列，中国90%以上300米以上摩天大楼建设者，订单储备极其充沛。,连续16年全勤派现，分红率保持在20%以上，每股分红连年小幅稳健上行。
603288.SH,海天味业,食品饮料-调味品,2014-02-11,11,2150.0,2150.0,2.25,-15.8,-14.1,False,5.0,全国大部分在中国,1.2,98.8,产品98.8%在国内销售，拥有触达中国每一个乡镇农贸市场与现代商超毛细血管级的全国性经销商网络。,中国调味品绝对龙头，酱油与蚝油市占率第一，餐饮端深厚粘性与规模酿造工艺壁垒，净现比常年>1。,上市11年年年分红，股利支付率长年维持在50%-60%之间，治理规范。
601985.SH,中国核电,公用事业-核能与新能源发电,2015-06-10,11,2120.0,2120.0,2.85,12.8,15.6,False,5.0,全国大部分在中国,0.0,100.0,运营秦山、田湾、福清、三门等国内沿海主力核电基地，电力100%全额并入中国国家电网与南方电网。,国家核能特许运营双寡头之一，极高安全与牌照准入门槛，基荷清洁能源出力极其稳定，现金造血持久。,上市11年每年派现全勤，现金分配比例常年保持在可分配利润35%以上，并积极实施特别分红。
600989.SH,宝丰能源,基础化工-高端煤基新材料与聚烯烃,2019-05-16,7,2100.0,2100.0,3.45,10.5,14.2,False,5.0,全国大部分在中国,0.0,100.0,宁夏宁东能源化工基地与内蒙古乌审旗基地，100%在中国境内生产销售聚乙烯、聚丙烯及精细化工品。,单体规模极限与产业链一体化循环协同，煤制烯烃单位完全成本较国内同行低30%，高毛利与丰沛经营现金流。,上市7年坚持每年高额现金分红，累计派息超230亿元，分红比例稳定在30%-40%以上。
600025.SH,华能水电,公用事业-水力发电,2017-12-15,9,2050.0,2050.0,2.35,15.2,17.8,False,5.0,全国大部分在中国,0.5,99.5,统一运营澜沧江全流域梯级大型水电站群，电量主要通过超高压直流输送至中国广东等沿海负荷中心。,独占云南澜沧江流域水能资源，大水电零燃料成本与极高折旧现金转化率，梯级电站联合调度效益显著。,上市9年年年全勤分红，现金分红年复合增长率超20%，累计分红超260亿元，占可供分配利润近60%.
600887.SH,伊利股份,食品饮料-乳制品,1996-03-12,28,1720.0,1720.0,4.55,-6.8,-2.6,False,5.0,全国大部分在中国,3.8,96.2,业务主要在中国各线城市及县域，在新西兰收购Westland乳业布局上游优质奶源，海外以东南亚冰淇淋为主。,亚洲第一乳业巨头，掌控全国最优质奶源带，冷链物流与双百万终端销售网点，全品类乳品市占率领先。,上市28年分红从未间断，累计现金分红突破500亿元，近三年分红率提升至70%以上。
600660.SH,福耀玻璃,汽车-汽车零部件与玻璃,1993-06-10,31,1420.0,1090.0,3.88,11.2,14.8,False,5.0,全球生意,46.5,53.5,海外占比46.5%，在美国俄亥俄、德国、俄罗斯拥有大型本土化工厂，为全球主流所有汽车主机厂一级供应商。,全球汽车玻璃市占率超34%位居世界第一，深耕专注三十年，天幕玻璃与HUD高附加值产品占比持续提升，毛利率领先全球同行10pct+。,连续31年派发现金红利，分红总额超募资数十倍，分红率长年保持在60%以上。
601006.SH,大秦铁路,交通运输-重载铁路货运,2006-08-01,19,1380.0,1380.0,6.15,2.2,8.1,False,5.0,全国大部分在中国,0.0,100.0,大秦铁路干线起自山西大同，终至秦皇岛港，全线位于中国境内，负责将西煤运往东部沿海。,中国西煤东运战略重载铁路大动脉，年运量超4亿吨，国家特许经营路网，极具确定性的现金流资产。,上市19年年年全额分红，承诺每年现金分红率不低于50%且每股分红有坚实下限保护。
603259.SH,药明康德,医药生物-CXO医药研发服务,2018-05-08,7,1360.0,1150.0,2.45,-11.5,-9.6,False,5.0,全球生意,78.2,21.8,海外营收占比高达78.2%，来自美国、欧洲客户贡献超七成营收，在新加坡、美国、瑞士等多国设有实验室与生产基地。,全球CRDMO一体化服务龙头，覆盖全球前20大制药巨头及数千家Biotech公司，工程师红利与交付高可靠性。,自A股上市以来年年派现，年报分红率保持在30%左右，并积极通过注销式回购回馈股东。
600436.SH,片仔癀,医药生物-中药独家品种,2003-05-27,22,1320.0,1320.0,1.45,-4.2,-2.8,False,5.0,全国大部分在中国,6.1,93.9,核心销售在以闽粤为核心的大陆市场；海外以东南亚传统华侨华人圈为主，具有悠久出口历史。,国家级绝密配方与国家一级中药保护品种，天然麝香国家配额原材料壁垒，保肝护肝强心智占领，自主提价权。,上市22年现金分红全勤无中断，累计派现数十次，业绩与分红长期稳健。
000895.SZ,双汇发展,食品饮料-肉制品屠宰与深加工,1998-12-10,26,890.0,890.0,5.85,-6.2,-0.8,False,5.0,全国大部分在中国,4.5,95.5,河南漯河总部辐射全国肉类消费市场，母公司万洲国际拥有美国史密斯菲尔德，双汇可全球调配低成本海外冻肉。,中国最大肉类加工基地，百万级终端冷链网点，品牌认知深厚，屠宰与高低温肉制品产业链完备。,上市26年未曾中断分红，股利支付率长年保持在80%-90%的极致水平，高股息重度回报股东。
300979.SZ,华利集团,纺织服饰-运动鞋履智能制造,2021-04-26,4,735.0,125.0,4.15,-6.5,-3.8,True,4.4,全球生意,96.8,3.2,典型的全球代工离岸模式，生产基地主要位于越南北部和印尼，客户全部为Nike、Converse、UGG、Hoka、On等欧美运动巨头。,全球第二大运动鞋履制造龙头，年出货量超2亿双，研发协同、精益生产交付力及客户粘性极高，ROE稳定在20%+。,自2021年上市以来连续4年全勤分红，年报与中期均派现，分红率保持在60%以上。
600377.SH,宁沪高速,交通运输-高速公路运营,2001-01-16,24,635.0,485.0,4.85,8.5,13.8,False,5.0,特定区域生意,0.0,100.0,江苏省境内最黄金的交通走廊（沪宁高速公路江苏段），连接上海与南京两大超级都市圈，100%位于长三角核心区。,长三角核心货运客运经济动脉，车流量常年高位饱和且保持刚性增长，收费年限与改扩建保障现金流稳如泰山。,上市24年连续分红全勤，分红总额超募资50倍，承诺每股分红稳中有升，现金流绝大部分用于分红。
000963.SZ,华东医药,医药生物-综合医药制造与医美,2000-01-27,25,620.0,620.0,2.15,2.5,4.6,False,5.0,全国大部分在中国,18.2,81.8,医药工业与商业深耕浙江及全国主要三甲医院；英国Sinclair医美业务全面拓展全球欧美市场。,糖尿病与免疫抑制剂细分龙头，海外布局高端轻医美（少女针）带来全球化第二成长曲线。,上市25年来未间断分红，年年保持稳定利润分配与现金红利。
000423.SZ,东阿阿胶,医药生物-中药滋补品,1996-07-29,28,395.0,395.0,3.45,13.5,17.2,False,5.0,全国大部分在中国,1.8,98.2,山东东阿县国家非遗基地，依托华润医药体系全国化渠道网络，面向中国庞大的大健康滋补消费群体。,滋补国宝阿胶第一品牌，“桃花姬”与复方阿胶浆心智壁垒极高，渠道库存彻底出清后重回良性高毛利增长通道。,上市28年全勤分红，近年来分红率大幅跃升至80%-90%以上，大比例回报股东。
002555.SZ,三七互娱,传媒-网络游戏研运一体,2011-03-02,14,370.0,365.0,5.95,-9.8,-5.2,False,5.0,全球生意,36.5,63.5,海外游戏发行收入占比超36.5%，在日韩、欧美、东南亚等市场长期位居中国手游出海收入榜TOP3。,游戏研运一体化与精细化数字买量体系，《Puzzles & Survival》等拳头产品全球长线运营，现金流入充裕。,上市14年分红从未间断，首创A股季度分红（一年分红4次），年现金派息超20亿元。
601966.SH,玲珑轮胎,汽车-轮胎制造与全球替换,2016-07-06,9,285.0,285.0,3.65,-6.1,-3.2,False,5.0,全球生意,49.5,50.5,近50%营收来自海外，拥有泰国、塞尔维亚两大欧洲/东南亚本土工厂，直面欧美反倾销壁垒，行销全球170多个国家。,中国轮胎全球化先锋，“7+5”全球战略布局，国内新能源车原厂配套第一，高性价比与全球替换胎渠道网络。,上市9年每年现金分红全勤，年内多次分红落地，积极落实长期股东回报规划。
600329.SH,达仁堂,医药生物-中药老字号与机密品种,2001-12-21,24,270.0,270.0,10.85,15.6,23.5,False,5.0,全国大部分在中国,2.5,97.5,天津百年中药老字号，速效救心丸等核心产品全国各省市基层医院与零售药店全覆盖，海外为港澳与华人圈出口。,速效救心丸为国家机密品种，京万红为秘密品种，拥有近600个药品批准文号，心脑血管急救用药刚需属性极强。,上市24年连续分红全勤，近年来分红率近100%，最新股息率超10%，A股高股息高增长代表标杆。
600548.SH,深高速,交通运输-大湾区公路与大环保,2001-12-25,24,245.0,175.0,5.65,3.8,9.2,False,5.0,特定区域生意,0.0,100.0,核心收费公路资产位于深圳市及广东省粤港澳大湾区核心通道（机荷高速、沿江高速等），100%在中国境内。,大湾区核心干道网络特许经营权，深圳先行示范区车流量永续繁荣，拓展固废资源化利用第二主业。,上市24年分红从未间断，分红政策透明连贯，分红率保持在45%-55%区间。
000429.SZ,粤高速A,交通运输-大湾区核心高速公路,1998-02-20,28,240.0,145.0,6.35,13.2,19.5,False,5.0,特定区域生意,0.0,100.0,特许经营核心路桥（广佛高速、佛开高速、京珠高速广珠段）100%位于广东省珠三角腹地，完全依赖区域车流。,珠江口东西两岸经济动脉，全国经济最发达、汽车保有量最高的大湾区腹地，资产无衰退风险，折旧后高利润收费。,上市28年连续派现无一年缺席，公告承诺2024-2026年现金分红比例不低于70%，高股息长期复利之王。
000550.SZ,江铃汽车,汽车-轻型商用车与皮卡SUV,1993-12-01,31,225.0,140.0,5.15,7.5,11.8,False,5.0,全球生意,38.5,61.5,国内深耕轻卡、轻客与特种商用车；海外与美国福特深度协同，福特领界、领睿及皮卡大批量出口中东、南美、东盟。,福特汽车与江铃深度合资平台，商用车底盘技术积累深厚，海外福特全球销售渠道复用优势极大。,上市31年分红从未间断，数次实施每10股派发数十元的高比例特别派息，分红总额超融资额数百倍。
